CountryName,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Channel Islands,70.63978049,70.73441463,70.83009756,70.93331707,71.04758537,71.17192683,71.29934146,71.42185366,71.53597561,71.64070732,71.73904878,71.836,71.93804878,72.05017073,72.17736585,72.32460976,72.49390244,72.6852439,72.89312195,73.11602439,73.34495122,73.57392683,73.79592683,74.00646341,74.20653659,74.39812195,74.58773171,74.78182927,74.98546341,75.19858537,75.4182439,75.63692683,75.84968293,76.053,76.24739024,76.43734146,76.62990244,76.83153659,77.04721951,77.27792683,77.52412195,77.78526829,78.05385366,78.32382927,78.59019512,78.84487805,79.08290244,79.3007561,79.49846341,79.67553659
Chile,57.01629268,57.40634146,57.82956098,58.28841463,58.78095122,59.30268293,59.84560976,60.40319512,60.97095122,61.54729268,62.13670732,62.74660976,63.38297561,64.04926829,64.743,65.46214634,66.20673171,66.96631707,67.72746341,68.47573171,69.19173171,69.85807317,70.46378049,71.00636585,71.48478049,71.905,72.27895122,72.6234878,72.9555122,73.28190244,73.60356098,73.91641463,74.21395122,74.49519512,74.76568293,75.04146341,75.33963415,75.66980488,76.03302439,76.42282927,76.82173171,77.20721951,77.55521951,77.85117073,78.08958537,78.27497561,78.41585366,78.53426829,78.64721951,78.76270732
Costa Rica,61.60295122,62.17429268,62.73895122,63.29290244,63.83665854,64.36621951,64.88014634,65.38095122,65.8722439,66.35856098,66.84897561,67.35102439,67.87221951,68.41409756,68.97665854,69.55941463,70.16236585,70.77546341,71.38668293,71.98397561,72.55082927,73.07368293,73.54404878,73.95839024,74.31770732,74.624,74.88578049,75.11704878,75.33234146,75.53965854,75.747,75.95685366,76.16921951,76.38158537,76.59543902,76.80880488,77.02165854,77.2295122,77.43036585,77.62273171,77.80407317,77.97492683,78.1347561,78.28558537,78.42841463,78.5642439,78.69507317,78.82141463,78.94626829,79.06917073
Croatia,65.96912195,66.41395122,66.80704878,67.15241463,67.45660976,67.72770732,67.97631707,68.21,68.43736585,68.66446341,68.89785366,69.14158537,69.39063415,69.63687805,69.87521951,70.00195122,70.45536585,70.74439024,70.53878049,70.42731707,70.17536585,70.34439024,70.48268293,70.27487805,70.21853659,70.88609756,71.41902439,71.4702439,71.48829268,71.84463415,72.1704878,72.18536585,71.24146341,71.52243902,71.80341463,72.08439024,72.36536585,72.49512195,72.31707317,72.64195122,72.80780488,74.51292683,74.71731707000001,74.61390244,75.5202439,75.24463415,75.83682927,75.70560976,75.91219512,76.16829268
Cuba,63.66265854,64.27643902,64.90068293,65.53590244,66.17558537,66.81273171,67.43736585,68.04097561,68.61704878,69.16160976,69.67563415,70.16563415,70.63609756,71.09253659,71.53197561,71.95192683,72.3454878,72.70663415,73.03085366,73.31612195,73.56234146,73.76790244,73.93921951,74.08026829,74.19707317,74.28821951,74.35134146,74.39056098,74.41295122,74.43004878,74.45980488,74.52158537,74.62531707,74.77690244,74.97385366,75.2067561,75.4572439,75.70641463,75.94034146,76.158,76.36580488,76.57963415,76.81534146,77.08082927,77.37409756,77.68319512,77.99319512,78.2852439,78.54741463,78.77321951
Cyprus,69.59060976,69.92553659,70.24997561,70.56443902,70.86939024,71.16534146,71.45278049,71.7322439,72.00421951,72.26868293,72.52665854,72.77763415,73.02112195,73.25758537,73.48756098,73.71153659,73.9295122,74.142,74.349,74.5514878,74.7484878,74.9424878,75.1314878,75.3154878,75.49597561,75.67295122,75.84592683,76.01539024,76.18182927,76.34426829,76.50470732,76.66212195,76.81604878,76.96797561,77.11590244,77.26231707,77.4057561,77.54717073,77.68609756,77.8235122,77.95692683,78.08534146,78.20926829,78.33019512,78.45009756,78.57395122,78.70873171,78.85790244,79.02146341,79.19695122
Czech Republic,70.34878049,70.51268293,69.78682927,70.30439024,70.4595122,70.16317073,70.38487805,70.26414634,69.84073171,69.36707317,69.4402439,69.67707317,70.17658537,70.02268293,70.08658537,70.41463415,70.53268292999999,70.57341463,70.64390244,70.7495122,70.27804878,70.72219512,70.80780488,70.59146341,70.83756098,71.04634146,70.99731707,71.44560976,71.64146341,71.67560976,71.38390244,71.89829268,72.27170732,72.76780488,72.97268293,73.07487805,73.71463415,73.82487805,74.51463415,74.66829268,74.96829268,75.17317073,75.22195122,75.17073171,75.72195122,75.92439024,76.52439024,76.72439024,76.97560976,77.07804878
Denmark,72.17658537,72.43829268,72.3197561,72.4004878,72.48512195,72.37073171,72.44414634,72.92219512,73.12146341,73.22097561,73.34341463,73.41463415,73.43902439,73.68219512,73.80829268,74.07512195,73.7397561,74.63243902,74.39292683,74.21926829,74.10170732,74.2304878,74.55121951,74.4204878,74.56219512,74.42756098,74.5797561,74.69121951,74.77170732,74.7997561,74.80536585,75.15780488,75.19414634,75.11682927,75.37512195,75.21268293,75.59146341,75.94512195,76.13902439,76.34146341,76.59268293,76.79268293,76.89512195,77.14390244,77.49268293,77.84390244,78.09512195,78.19512195,78.44634146,78.59756098
Ecuador,53.12004878,53.75636585,54.35009756,54.8917561,55.37982927,55.81982927,56.22078049,56.60170732,56.98212195,57.37053659,57.77592683,58.19978049,58.64007317,59.09478049,59.56839024,60.06436585,60.58719512,61.13639024,61.71046341,62.30595122,62.91992683,63.54841463,64.18497561,64.82214634,65.45343902,66.07082927,66.66978049,67.24821951,67.80614634,68.34153659,68.85687805,69.35573171,69.84209756,70.32002439,70.7894878,71.252,71.70946341,72.15739024,72.59126829,73.00614634,73.39204878,73.73807317,74.04080488,74.2992439,74.51641463,74.69929268,74.85782927,75.00495122,75.15058537,75.30219512
Finland,68.8197561,68.84414634,68.57780488,69.01268293,69.22097561,68.97780488,69.47707317,69.66658537,69.61634146,69.50341463,70.1795122,70.01756098,70.70731707,71.22365854,71.13487805,71.67365854,71.81292683,72.3502439,72.89707317,73.15536585,73.44,73.74658537,74.29804878,74.20097561,74.51902439,74.22292683,74.56,74.59195122,74.57707317,74.79219512,74.81317073,75.22756098,75.45536585,75.70512195,76.39560976,76.4095122,76.69341463,76.87853659,77.09073171,77.29121951,77.46585366,77.96585366,78.1195122,78.36829268,78.71463415,78.81707317,79.21463415,79.26341463,79.56829268,79.7195122
France,69.86829268,70.11707317,70.31463415,70.51463415,70.66341463,70.81219512,70.96097561,71.16097561,71.3097561,71.45853659,71.65853659,71.90731707,72.10731707,72.35609756,72.60487805,72.85365854,73.10243902,73.35121951,73.60243902,73.85121950999999,74.05121951,74.3,74.5,74.8,75,75.3,75.6,75.8,76.1,76.34878049,76.6,76.84878049,77.1,77.3,77.64878049000001,77.75121951,77.95365854,78.30487805,78.45609756,78.60731707,78.95853659,79.05853659,79.26097561,79.26341463,80.16341463,80.11463415,80.51463415,80.81463415,80.86829268,81.06829268
Germany,69.62029268,69.82639024,70.01009756,70.17195122,70.31195122,70.42614634,70.50856098,70.56214634,70.59287805,70.61265854,70.64090244,70.69646341,70.79426829,70.94180488,71.14112195,71.38678049,71.66646341,71.96180488,72.25592683,72.54236585,72.81863415,73.08919512,73.36141463,73.63770732,73.917,74.19173171,74.45331707,74.69626829,74.91860976,75.12287805,75.31612195,75.3195122,75.8195122,75.87073171,76.27073171,76.42195122,76.67317073,77.07317073,77.47560976,77.72682927,77.92682927,78.32926829,78.22926829,78.3804878,78.6804878,78.93170732,79.13170732,79.53414634,79.73658537,79.83658537
