CountryName,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Libya,46.67873171,47.17521951,47.66868293,48.16009756,48.64946341,49.13226829,49.60002439,50.0557561,50.50746341,50.96968293,51.46643902,52.0247561,52.66260976,53.38802439,54.2004878,55.093,56.04904878,57.04012195,58.04017073,59.03414634,60.01246341,60.97704878,61.93034146,62.87136585,63.78965854,64.66631707,65.48343902,66.23217073,66.91107317,67.52219512,68.08002439,68.605,69.11802439,69.63104878,70.14607317,70.65312195,71.13378049,71.56809756,71.94412195,72.26285366,72.5307561,72.76280488,72.97692683,73.18956098,73.40719512,73.63529268,73.86936585,74.10292683,74.329,74.54556098
Madagascar,39.88087805,40.27997561,40.67870732,41.08002439,41.48287805,41.88865854,42.29473171,42.69956098,43.10212195,43.50243902,43.89960976,44.29526829,44.68956098,45.08558537,45.48490244,45.89697561,46.3337561,46.79512195,47.2734878,47.75582927,48.20812195,48.58839024,48.87717073,49.07297561,49.19278049,49.27353659,49.36770732,49.52821951,49.79858537,50.19980488,50.74239024,51.42041463,52.19739024,53.03992683,53.93102439,54.85473171,55.80307317,56.77004878,57.74612195,58.71629268,59.67456098,60.62092683,61.55136585,62.45731707,63.32078049,64.11217073,64.80143902,65.37556098,65.83553659,66.19136585
Maldives,37.47795122,37.97207317,38.51287805,39.1092439,39.76114634,40.462,41.19934146,41.95465854,42.7125122,43.46590244,44.20641463,44.92760976,45.63902439,46.35165854,47.07443902,47.83378049,48.65607317,49.55419512,50.52704878,51.56158537,52.62882927,53.68890244,54.70485366,55.65121951,56.51836585,57.30807317,58.034,58.729,59.42458537,60.13734146,60.88463415,61.67634146,62.51141463,63.38612195,64.29907317,65.25373171,66.25185366,67.28160976,68.32573171,69.36421951,70.37412195,71.33068293,72.21807317,73.02441463,73.74314634,74.37114634,74.91268293,75.38702439,75.81104878,76.19565854
Mali,30.31080488,30.46614634,30.68646341,30.9827561,31.35456098,31.79741463,32.29780488,32.83526829,33.38826829,33.94531707,34.49595122,35.03612195,35.56834146,36.09563415,36.61543902,37.12680488,37.63021951,38.12768293,38.62268293,39.1152439,39.60982927,40.11143902,40.62056098,41.13319512,41.64331707,42.14292683,42.61702439,43.05809756,43.46214634,43.82819512,44.16221951,44.47426829,44.77531707,45.07687805,45.38395122,45.6975122,46.01304878,46.32653659,46.63397561,46.93839024,47.24326829,47.55265854,47.87309756,48.20758537,48.55763415,48.92619512,49.3112439,49.7107561,50.12019512,50.53604878
Morocco,46.61507317,47.10909756,47.59958537,48.0875122,48.57390244,49.05873171,49.54253659,50.02780488,50.51558537,51.00785366,51.50463415,52.00292683,52.50419512,53.01346341,53.5382439,54.09356098,54.69792683,55.35939024,56.07543902,56.83907317,57.6312439,58.42943902,59.20858537,59.950195120000004,60.64419512,61.29012195,61.89446341,62.4732439,63.04,63.5982439,64.146,64.68026829,65.19658537,65.69043902,66.16234146,66.61331707,67.04836585,67.47,67.88117073,68.28390244,68.67514634,69.05487805,69.41958537,69.7672439,70.09987805,70.41746341,70.72353659,71.01912195,71.3077561,71.58941463
Nepal,38.49404878,38.84146341,39.20141463,39.57492683,39.96404878,40.37039024,40.79507317,41.23760976,41.6975122,42.17373171,42.66663415,43.17509756,43.69795122,44.23309756,44.7784878,45.33012195,45.88853659,46.45136585,47.01670732,47.58458537,48.15460976,48.72631707,49.30221951,49.88173171,50.46580488,51.04982927,51.63063415,52.20663415,52.78173171,53.36143902,53.95673171,54.58070732,55.2424878,55.94568293,56.68936585,57.46863415,58.2735122,59.09,59.90609756,60.71580488,61.52163415,62.33260976,63.15365854,63.98029268,64.79895122,65.58658537,66.31514634,66.96609756,67.52795122,68.00168293
Nicaragua,46.91095122,47.57336585,48.2362439,48.89809756,49.55895122,50.22285366,50.89334146,51.56990244,52.25095122,52.92990244,53.59804878,54.24465854,54.86160976,55.44234146,55.98339024,56.48029268,56.93019512,57.34082927,57.72443902,58.0932439,58.46043902,58.83909756,59.24082927,59.67660976,60.15558537,60.69085366,61.29358537,61.95617073,62.666,63.40787805,64.15802439,64.88768293,65.57756098,66.21146341,66.78570732,67.30419512,67.78190244,68.2414878,68.70165854,69.16853659,69.64573171,70.13090244,70.61417073,71.08558537,71.53978049,71.97280488,72.37919512,72.75939024,73.11080488,73.43443902
Oman,42.27360976,42.93034146,43.61460976,44.32890244,45.0767561,45.86417073,46.69865854,47.5802439,48.50741463,49.47468293,50.4735122,51.49341463,52.52434146,53.55678049,54.5852439,55.60870732,56.62970732,57.65321951,58.68526829,59.72234146,60.76839024,61.82539024,62.88878049,63.95112195,65.00341463,66.03873171,67.05168293,68.03180488,68.96663415,69.84070732,70.63295122,71.32129268,71.90165854,72.37497561,72.74773171,73.04302439,73.29053659,73.51482927,73.73080488,73.93826829,74.11029268,74.20585366,74.19565854,74.07307317,73.85517073,73.58470732,73.31758537,73.10887805,72.99860976,73.00409756
Papua New Guinea,38.4622439,39.0595122,39.71739024,40.43787805,41.2164878,42.03719512,42.87956098,43.7174878,44.53090244,45.30821951,46.04092683,46.72746341,47.38131707,48.01482927,48.63736585,49.2705122,49.93885366,50.64929268,51.39346341,52.15270732,52.88370732,53.53129268,54.05812195,54.44563415,54.70043902,54.85226829,54.94907317,55.05160976,55.20280488,55.42202439,55.70934146,56.04707317,56.39919512,56.73846341,57.05592683,57.35195122,57.63085366,57.90629268,58.1895122,58.48487805,58.79578049,59.1247561,59.46890244,59.82531707,60.19253659,60.56660976,60.94456098,61.32390244,61.70117073,62.07390244
Peru,47.6432439,48.1867561,48.70387805,49.19409756,49.665902439999996,50.1412439,50.65502439,51.22970732,51.87821951,52.59653659,53.36819512,54.16370732,54.94814634,55.69553659,56.39395122,57.04336585,57.65278049,58.24217073,58.83002439,59.42036585,60.01619512,60.618,61.21882927,61.81317073,62.39804878,62.96904878,63.52165854,64.05443902,64.56785366,65.06439024,65.5495122,66.02817073,66.50880488,66.99339024,67.48539024,67.98478049,68.49209756,69.00087805,69.50463415,69.99892683,70.47626829,70.93070732,71.3592439,71.75939024,72.12868293,72.46660976,72.77219512,73.05039024,73.30570732,73.54307317
Saudi Arabia,44.87487805,45.48353659,46.11217073,46.7667561,47.45282927,48.17736585,48.94636585,49.75785366,50.61090244,51.50304878,52.43292683,53.40068293,54.39882927,55.41739024,56.44526829,57.47182927,58.48885366,59.48968293,60.46414634,61.40317073,62.29770732,63.14182927,63.93663415,64.6837561,65.3832439,66.03719512,66.65063415,67.22956098,67.7765122,68.292,68.7704878,69.2054878,69.59095122,69.92787805,70.21978049,70.47268293,70.69560976,70.89912195,71.09426829,71.28907317,71.49209756,71.70795122,71.93512195,72.17102439,72.41512195,72.66478049,72.91582927,73.16312195,73.40207317,73.63217073
Timor-Leste,33.72712195,34.22756098,34.72904878,35.23153659,35.7334878,36.27290244,36.89478049,37.59660976,38.33587805,39.0415122,39.52887805,39.5752439,39.08809756,38.0825122,36.66814634,35.11385366,33.77260976,32.94319512,32.81378049,33.42034146,34.65814634,36.29782927,38.01290244,39.5505122,40.8125122,41.78190244,42.5282439,43.21434146,43.96741463,44.82004878,45.78580488,46.85019512,47.96314634,49.08012195,50.18463415,51.264170730000004,52.3147561,53.33939024,54.3345122,55.28965854,56.1902439,57.02178049,57.78021951,58.46553659,59.08226829,59.63834146,60.14631707,60.62365854,61.08595122,61.54217073
Tunisia,48.33580488,48.82380488,49.30580488,49.78380488,50.26580488,50.75885366,51.273,51.81826829,52.40158537,53.02736585,53.70041463,54.42302439,55.18856098,55.988,56.81685366,57.67121951,58.55080488,59.44782927,60.353,61.25141463,62.12317073,62.9487561,63.71856098,64.42953659,65.08414634,65.69487805,66.28221951,66.86768293,67.4637561,68.07090244,70.30731707,70.50731707,70.75609756,70.75365854,70.95365854,71.35365854,71.55365854,71.90243902,72.05121951,72.5,72.6,72.84878049,73,73.05121951,73.30243902,73.50243902,73.9,74.20243902,74.30243902,74.45121951
Vietnam,44.16209756,44.69063415,45.23568293,45.7892439,46.33578049,46.83080488,47.22080488,47.4837561,47.625682929999996,47.67558537,47.69146341,47.74926829,47.92404878,48.27287805,48.82439024,49.59980488,50.59587805,51.75770732,53.02331707,54.34717073,55.67107317,56.93829268,58.12002439,59.20053659,60.17168293,61.05490244,61.8932439,62.73631707,63.6157561,64.53609756,65.47836585,66.41109756,67.2927561,68.09334146,68.80482927,69.43168293,69.98985366,70.50631707,71.00156098,71.48260976,71.9455122,72.38131707,72.77709756,73.12590244,73.43178049,73.69973171,73.9407561,74.16534146,74.38546341,74.60558537
