CountryName,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Eritrea,39.10626829,39.52836585,39.94797561,40.36409756,40.7772439,41.19290244,41.61756098,42.0502439,42.48646341,42.91419512,43.317,43.67436585,43.97231707,44.20034146,44.35590244,44.42995122,44.41746341,44.33636585,44.21517073,44.08234146,43.97836585,43.94329268,44.00360976,44.17790244,44.47868293,44.90697561,45.44980488,46.07617073,46.75807317,47.47902439,48.23353659,49.02158537,49.84265854,50.6922439,51.55287805,52.40460976,53.227,54.00653659,54.7357561,55.40758537,56.02497561,56.59429268,57.13246341,57.65392683,58.16268293,58.66426829,59.15773171,59.63921951,60.10526829,60.55692683
Ethiopia,38.40570732,39.06863415,39.69714634,40.27578049,40.79553659,41.25243902,41.65146341,42.00756098,42.33421951,42.63790244,42.92858537,43.21473171,43.49585366,43.76592683,44.01646341,44.217,44.32904878,44.33814634,44.25180488,44.0935122,43.9142439,43.77846341,43.74214634,43.8422439,44.09026829,44.47521951,44.96412195,45.50153659,46.03995122,46.55790244,47.04539024,47.50290244,47.94895122,48.398,48.85304878,49.31363415,49.77526829,50.23895122,50.70868293,51.19292683,51.71012195,52.28221951,52.91868293,53.618,54.37065854,55.15665854,55.95156098,56.72392683,57.45078049,58.11817073
Gabon,39.56817073,39.92563415,40.37009756,40.92007317,41.57853659,42.3355122,43.1694878,44.04146341,44.91992683,45.78841463,46.63587805,47.46036585,48.27336585,49.08287805,49.89039024,50.69990244,51.51492683,52.33792683,53.16741463,54.00187805,54.84382927,55.69826829,56.55770732,57.40763415,58.22909756,58.99509756,59.67765854,60.25778049,60.7234878,61.06726829,61.28912195,61.39653659,61.41297561,61.36095122,61.2554878,61.09760976,60.87943902,60.60495122,60.29268293,59.97204878,59.69095122,59.49778049,59.42390244,59.4837561,59.68180488,60.00558537,60.42717073,60.89914634,61.38112195,61.84912195
Guinea,32.36412195,32.45331707,32.53409756,32.61039024,32.69017073,32.78826829,32.91953659,33.09587805,33.32526829,33.6122439,33.95792683,34.3585122,34.80265854,35.27656098,35.77126829,36.27873171,36.79195122,37.30773171,37.8224878,38.33265854,38.83473171,39.32968293,39.81956098,40.30741463,40.79270732,41.2764878,41.76073171,42.24546341,42.72768293,43.20592683,43.67068293,44.10995122,44.5217561,44.90858537,45.27895122,45.65185366,46.04882927,46.48834146,46.97890244,47.522,48.11014634,48.72982927,49.35702439,49.97373171,50.56895122,51.13565854,51.67336585,52.18856098,52.6872439,53.16992683
Guinea-Bissau,34.50668293,34.77863415,35.05007317,35.32002439,35.58997561,35.85941463,36.12987805,36.40034146,36.67182927,36.94280488,37.20880488,37.46231707,37.70231707,37.93180488,38.15680488,38.39029268,38.65029268,38.94729268,39.28480488,39.65829268,40.05673171,40.46404878,40.8587561,41.22534146,41.55431707,41.8407561,42.08419512,42.29521951,42.48487805,42.65968293,42.82414634,42.9847561,43.14497561,43.3102439,43.48502439,43.67529268,43.8855122,44.11519512,44.36031707,44.61936585,44.88487805,45.14685366,45.39880488,45.63978049,45.8732439,46.10965854,46.36197561,46.64268293,46.95926829,47.3132439
Liberia,37.64826829,38.01746341,38.38465854,38.75034146,39.1145122,39.47819512,39.84343902,40.20973171,40.57658537,40.9434878,41.31141463,41.68534146,42.06173171,42.43404878,42.79026829,43.11587805,43.39239024,43.60878049,43.75760976,43.83739024,43.84817073,43.79653659,43.6984878,43.56956098,43.4202439,43.2535122,43.06834146,42.86565854,42.65592683,42.45563415,42.27680488,42.12795122,42.02360976,41.98780488,42.04858537,42.247,42.62707317,43.19934146,43.9587561,44.8887561,45.96431707,47.14882927,48.38721951,49.62592683,50.82336585,51.94302439,52.96282927,53.88885366,54.72763415,55.47919512
Madagascar,39.88087805,40.27997561,40.67870732,41.08002439,41.48287805,41.88865854,42.29473171,42.69956098,43.10212195,43.50243902,43.89960976,44.29526829,44.68956098,45.08558537,45.48490244,45.89697561,46.3337561,46.79512195,47.2734878,47.75582927,48.20812195,48.58839024,48.87717073,49.07297561,49.19278049,49.27353659,49.36770732,49.52821951,49.79858537,50.19980488,50.74239024,51.42041463,52.19739024,53.03992683,53.93102439,54.85473171,55.80307317,56.77004878,57.74612195,58.71629268,59.67456098,60.62092683,61.55136585,62.45731707,63.32078049,64.11217073,64.80143902,65.37556098,65.83553659,66.19136585
Malawi,37.77363415,37.99814634,38.21317073,38.42021951,38.62429268,38.84090244,39.09004878,39.38470732,39.72987805,40.12256098,40.54921951,40.990390239999996,41.42353659,41.83417073,42.21478049,42.56882927,42.90882927,43.2492439,43.60112195,43.96392683,44.33619512,44.71139024,45.07756098,45.42473171,45.74643902,46.04119512,46.31102439,46.55643902,46.776,46.9612439,47.09426829,47.15014634,47.12241463,47.01758537,46.85217073,46.64268293,46.41214634,46.19646341,46.03502439,45.96368293,46.02973171,46.2764878,46.70731707,47.30863415,48.06290244,48.93804878,49.889146339999996,50.86231707,51.80473171,52.68095122
Maldives,37.47795122,37.97207317,38.51287805,39.1092439,39.76114634,40.462,41.19934146,41.95465854,42.7125122,43.46590244,44.20641463,44.92760976,45.63902439,46.35165854,47.07443902,47.83378049,48.65607317,49.55419512,50.52704878,51.56158537,52.62882927,53.68890244,54.70485366,55.65121951,56.51836585,57.30807317,58.034,58.729,59.42458537,60.13734146,60.88463415,61.67634146,62.51141463,63.38612195,64.29907317,65.25373171,66.25185366,67.28160976,68.32573171,69.36421951,70.37412195,71.33068293,72.21807317,73.02441463,73.74314634,74.37114634,74.91268293,75.38702439,75.81104878,76.19565854
Mali,30.31080488,30.46614634,30.68646341,30.9827561,31.35456098,31.79741463,32.29780488,32.83526829,33.38826829,33.94531707,34.49595122,35.03612195,35.56834146,36.09563415,36.61543902,37.12680488,37.63021951,38.12768293,38.62268293,39.1152439,39.60982927,40.11143902,40.62056098,41.13319512,41.64331707,42.14292683,42.61702439,43.05809756,43.46214634,43.82819512,44.16221951,44.47426829,44.77531707,45.07687805,45.38395122,45.6975122,46.01304878,46.32653659,46.63397561,46.93839024,47.24326829,47.55265854,47.87309756,48.20758537,48.55763415,48.92619512,49.3112439,49.7107561,50.12019512,50.53604878
